fecha_hora,sector,ubicacion,colonia,observaciones,clasificacion,causa,lesionados,fallecidos,vehiculos_cantidad
2015-01-01 00:00:00,"NO ESPECIFICADO","CALZ GOMEZ MORIN Y CARRETERA A MIELERAS",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-01 00:00:00,"NO ESPECIFICADO","ANTIGUA A SAN PEDRO A LA ALTURA DEL EJIDO ANA",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-01 00:00:00,"NO ESPECIFICADO","BLVD REVOLUCION Y CALLE 52",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-01 00:00:00,"NO ESPECIFICADO","AV JUAREZ Y CALZ FCO SARABIA",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-01 00:00:00,"NO ESPECIFICADO","CALZ RAMON MENDEZ Y CALZ DE LA PAZ",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-01 00:00:00,"NO ESPECIFICADO","BLVD DIAGONAL DE LAS FUENTES Y DE TORREON A LERDO",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-01 00:00:00,"NO ESPECIFICADO","AV JUAREZ Y CALLE 22",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-02 00:00:00,"NO ESPECIFICADO","AV JUAREZ Y MUZQUIZ",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-02 00:00:00,"NO ESPECIFICADO","PASEO DE LA ROSITA Y PASEO DE LA HUERTA",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-02 00:00:00,"NO ESPECIFICADO","CALZ DIVICION DEL NORTE Y ANTONIO VIGATA SIMO",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-02 00:00:00,"NO ESPECIFICADO","BLVD RDZ TRIANA Y CALLE AMERICA",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-02 00:00:00,"NO ESPECIFICADO","RIO SUCHIATE Y BLVD INDEPENDENCIA",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-02 00:00:00,"NO ESPECIFICADO","AV ALLENDE Y GALEANA",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-03 00:00:00,"NO ESPECIFICADO","MEXICALY Y AV JUAREZ",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-03 00:00:00,"NO ESPECIFICADO","TORRE DE LONDRES Y TORRES GEMELAS",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-03 00:00:00,"NO ESPECIFICADO","BLVD DIAGONAL DE LAS FUENTES Y DEL ABASTO",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-03 00:00:00,"NO ESPECIFICADO","BLV DIAGONAL DE LAS FUENTES Y DEL ANGEL",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-04 00:00:00,"NO ESPECIFICADO","RENDUELES Y FRANCO UGARTE",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-04 00:00:00,"NO ESPECIFICADO","TORREON SAN PEDRO A LA ALTURA DE SENDEROS",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-04 00:00:00,"NO ESPECIFICADO","AV JUAREZ Y CALLE 18",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-04 00:00:00,"NO ESPECIFICADO","AV UNIVERSIDAD Y PIRITA",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-04 00:00:00,"NO ESPECIFICADO","PERIFERICO Y CARRETERA A SANTA FE",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-04 00:00:00,"NO ESPECIFICADO","AV JUAREZ Y MUZQUIZ",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-05 00:00:00,"NO ESPECIFICADO","PARIS Y HAMBURGO",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-05 00:00:00,"NO ESPECIFICADO","DESNIVEL DE CARRETERA A MIELERAS",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-05 00:00:00,"NO ESPECIFICADO","AV MORELOS Y CALLE 24",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-05 00:00:00,"NO ESPECIFICADO","AV MORELOS Y CALLE 25",,,"CHOQUE","NO ESPECIFICADO",0,0,0
2015-01-05 00:00:00,"NO ESPECIFICADO","AV HIDALGO Y RAMOS ARIZPE",,,"CHOQUE","NO ESPECIFICADO",0,0,0
